Titles,Company,Experience,Salary,Location
it manager ,Ideal Career Zone,4 Years,16000,Kolkata
financial analyst ,goldman sachs services pvt ltd,3 Years,66666,Hyderabad
it recruiter ,Kanak IT Service LLC,4 Years,45000,Noida
it recruiter ,Our Business Ladder,3 Years,15000,Coimbatore
desktop support engineer ,For a Client of Teamlease Digital,4 Years,25000,Hyderabad
it trainer ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
hr recruiter - it and non it ,DEWIIT INFOEDGE,3 Years,25000,Chennai
it software engineer ,Leading Edge ExT,Fresher,52000,Mumbai
us it recruiter ,Yuvii consultancy private limited,Fresher,25000,Ahmedabad
hr it recruiter ,SyStos Technology,Fresher,12000,Indore
it software engineer ,For a Client of Teamlease Digital,Fresher,166666,Hyderabad
it software engineer ,AMC Career,Fresher,47000,Pune
it software engineer ,Adithya it Solution Pvt Ltd,Fresher,30000,Salem
it network engineer ,Youtag infotag,Fresher,15000,Chennai
it software engineer ,For a Client of Teamlease Digital,11 Year,33333,Noida
it sales executive ,NexionPro Services,3 Years,40000,Mumbai
it software engineer ,AMC Career,Fresher,47000,Navi Mumbai
it support engineers ,For a Client of Teamlease Digital,5 Years,30083,Gurgaon
it software engineer ,DSK SOFTWARE SOLUTIONS PVT.LTD,Fresher,40000,Pune
us it recruiter ,Goodone1IT,4 Years,20000,Mumbai
it asset executive ,For a Client of Teamlease Digital,5 Years,1000000,Hyderabad
us it recruiter ,Stellar Professionals,1 Year,15000,Mumbai
it marketing executive ,Panacorp Software Company,Fresher,16000,Pune
it recruiter / hr recruiter ,Metamorf InfoTech,4 Years,35000,Hyderabad
computer technician/support specialist ,J K S S & Associates,Fresher,25000,Bangalore
it application support executive ,Kanha Milk Testing Equipments Pvt Ltd,3 Years,30000,Mohali
team member - it support ,FOX Solutions Pvt Ltd,Fresher,19000,Bangalore
business development manager - it - b2b ,MAAZ INFOTECH,3 Years,30000,Delhi
hr recruiter - non it - fresher ,Actio,Fresher,15000,Bulandshahr
hr recruiter - non it - fresher ,Actio,Fresher,15000,Bangalore
it sales executive inside sales ,Alsiraatacars,3 Years,22000,Pune
account manager - it product sales ,Software Company,4 Years,200000,Chennai
international business development - it sales ,Vertoz,3 Years,45000,Delhi
hiring remote it sales executive for american mnc ,Group 8 security INC,4 Years,80000,Gurgaon
business development associate ,DIGIT IT,Fresher,8000,Noida
sales associate ,IT -galore,Fresher,20000,Mumbai
plant supervisor ,Adithya it solution,Fresher,17000,Nasik
driver lmv ,Adithya it solution,Fresher,25000,Hyderabad
system supervisor ,Adithya it solution,Fresher,15000,Bangalore
